purchase_year,purchase_month,total_order_value,period
2016,9,211.29,2016-09-01
2016,10,42594.18,2016-10-01
2016,12,19.62,2016-12-01
2017,1,109238.9,2017-01-01
2017,2,222453.96,2017-02-01
2017,3,337763.63,2017-03-01
2017,4,329489.93,2017-04-01
2017,5,469171.96,2017-05-01
2017,6,404994.96,2017-06-01
2017,7,526440.0,2017-07-01
2017,8,541177.37,2017-08-01
2017,9,561900.83,2017-09-01
2017,10,601309.06,2017-10-01
2017,11,971235.95,2017-11-01
2017,12,721458.63,2017-12-01
2018,1,928342.35,2018-01-01
2018,2,849667.62,2018-02-01
2018,3,933862.18,2018-03-01
2018,4,901124.35,2018-04-01
2018,5,888161.51,2018-05-01
2018,6,812185.23,2018-06-01
2018,7,816923.03,2018-07-01
2018,8,806478.08,2018-08-01
2018,9,166.46,2018-09-01
